GSM1341955_NI.2500-5000_SORTED.bed.peak.txt
chr1	0	248289962	249250621	0.996146
chr1	1	960659	249250621	0.00385419
chr10	0	135034086	135534747	0.996306
chr10	1	500661	135534747	0.00369397
chr11	0	134447763	135006516	0.995861
chr11	1	558753	135006516	0.00413871
chr12	0	133537622	133851895	0.997652
chr12	1	314273	133851895	0.00234792
chr13	0	114697019	115169878	0.995894
chr13	1	472859	115169878	0.00410575
chr14	0	106657286	107349540	0.993551
chr14	1	692254	107349540	0.0064486
chr15	0	102401024	102531392	0.998729
chr15	1	130368	102531392	0.00127149
chr16	0	89988382	90354753	0.995945
chr16	1	366371	90354753	0.00405481
chr17	0	80638564	81195210	0.993144
chr17	1	556646	81195210	0.00685565
chr18	0	77837963	78077248	0.996935
chr18	1	239285	78077248	0.00306472
chr19	0	56795917	59128983	0.960543
chr19	1	2333066	59128983	0.0394572
chr2	0	242550825	243199373	0.997333
chr2	1	648548	243199373	0.00266673
chr20	0	62064277	63025520	0.984748
chr20	1	961243	63025520	0.0152516
chr21	0	47653497	48129895	0.990102
chr21	1	476398	48129895	0.00989817
chr22	0	51161223	51304566	0.997206
chr22	1	143343	51304566	0.00279396
chr3	0	197740115	198022430	0.998574
chr3	1	282315	198022430	0.00142567
chr4	0	190761064	191154276	0.997943
chr4	1	393212	191154276	0.00205704
chr5	0	180537846	180915260	0.997914
chr5	1	377414	180915260	0.00208614
chr6	0	170114238	171115067	0.994151
chr6	1	1000829	171115067	0.00584887
chr7	0	158602079	159138663	0.996628
chr7	1	536584	159138663	0.0033718
chr8	0	146242274	146364022	0.999168
chr8	1	121748	146364022	0.000831816
chr9	0	140877712	141213431	0.997623
chr9	1	335719	141213431	0.00237739
chrM	0	16571	16571	1
chrX	0	155153979	155270560	0.999249
chrX	1	116581	155270560	0.000750825
chrY	0	59363338	59373566	0.999828
chrY	1	10228	59373566	0.000172265
chr6_ssto_hap7	0	4928567	4928567	1
chr6_mcf_hap5	0	4833398	4833398	1
chr6_cox_hap2	0	4795371	4795371	1
chr6_mann_hap4	0	4683263	4683263	1
chr6_apd_hap1	0	4622290	4622290	1
chr6_qbl_hap6	0	4611984	4611984	1
chr6_dbb_hap3	0	4610396	4610396	1
chr17_ctg5_hap1	0	1680828	1680828	1
chr4_ctg9_hap1	0	590426	590426	1
chr1_gl000192_random	0	547496	547496	1
chrUn_gl000225	0	211173	211173	1
chr4_gl000194_random	0	191469	191469	1
chr4_gl000193_random	0	189789	189789	1
chr9_gl000200_random	0	187035	187035	1
chrUn_gl000222	0	186861	186861	1
chrUn_gl000212	0	186858	186858	1
chr7_gl000195_random	0	182896	182896	1
chrUn_gl000223	0	180455	180455	1
chrUn_gl000224	0	179693	179693	1
chrUn_gl000219	0	179198	179198	1
chr17_gl000205_random	0	174588	174588	1
chrUn_gl000215	0	172545	172545	1
chrUn_gl000216	0	172294	172294	1
chrUn_gl000217	0	172149	172149	1
chr9_gl000199_random	0	169874	169874	1
chrUn_gl000211	0	166566	166566	1
chrUn_gl000213	0	164239	164239	1
chrUn_gl000220	0	161802	161802	1
chrUn_gl000218	0	161147	161147	1
chr19_gl000209_random	0	159169	159169	1
chrUn_gl000221	0	155397	155397	1
chrUn_gl000214	0	137718	137718	1
chrUn_gl000228	0	129120	129120	1
chrUn_gl000227	0	128374	128374	1
chr1_gl000191_random	0	106433	106433	1
chr19_gl000208_random	0	92689	92689	1
chr9_gl000198_random	0	90085	90085	1
chr17_gl000204_random	0	81310	81310	1
chrUn_gl000233	0	45941	45941	1
chrUn_gl000237	0	45867	45867	1
chrUn_gl000230	0	43691	43691	1
chrUn_gl000242	0	43523	43523	1
chrUn_gl000243	0	43341	43341	1
chrUn_gl000241	0	42152	42152	1
chrUn_gl000236	0	41934	41934	1
chrUn_gl000240	0	41933	41933	1
chr17_gl000206_random	0	41001	41001	1
chrUn_gl000232	0	40652	40652	1
chrUn_gl000234	0	40531	40531	1
chr11_gl000202_random	0	40103	40103	1
chrUn_gl000238	0	39939	39939	1
chrUn_gl000244	0	39929	39929	1
chrUn_gl000248	0	39786	39786	1
chr8_gl000196_random	0	38914	38914	1
chrUn_gl000249	0	38502	38502	1
chrUn_gl000246	0	38154	38154	1
chr17_gl000203_random	0	37498	37498	1
chr8_gl000197_random	0	37175	37175	1
chrUn_gl000245	0	36651	36651	1
chrUn_gl000247	0	36422	36422	1
chr9_gl000201_random	0	36148	36148	1
chrUn_gl000235	0	34474	34474	1
chrUn_gl000239	0	33824	33824	1
chr21_gl000210_random	0	27682	27682	1
chrUn_gl000231	0	27386	27386	1
chrUn_gl000229	0	19913	19913	1
chrUn_gl000226	0	15008	15008	1
chr18_gl000207_random	0	4262	4262	1
genome	0	3124631907	3137161264	0.996006
genome	1	12529357	3137161264	0.00399385



GSM1341956_NI_3.2500-5000_SORTED.bed.peak.txt
chr1	0	248315598	249250621	0.996249
chr1	1	935023	249250621	0.00375134
chr10	0	135416423	135534747	0.999127
chr10	1	118324	135534747	0.000873016
